"","StationCode","Watershed","Date","Parameter","Result","Units","Longitude","Latitude"
"1","ANAB0151@WES","Santa Ana River",2016-05-23,"ENT",4700,"CFU/100 ml",-118.00199,33.82423
"2","ANAB0151@WES","Santa Ana River",2016-05-23,"FC",16000,"CFU/100 ml",-118.00199,33.82423
"3","ANAB0151@WES","Santa Ana River",2016-05-23,"TC",38000,"CFU/100 ml",-118.00199,33.82423
"4","ANAB0151@WES","Santa Ana River",2016-05-23,"AirTemperature",20,"deg C",-118.00199,33.82423
"5","ANAB0151@WES","Santa Ana River",2016-05-23,"Ammonia",0.1,"mg/L",-118.00199,33.82423
"6","ANAB0151@WES","Santa Ana River",2016-05-23,"AnionicSurfactants",0.25,"mg/L",-118.00199,33.82423
"7","ANAB0151@WES","Santa Ana River",2016-05-23,"DaysSinceLastRain",17,"none",-118.00199,33.82423
"8","ANAB0151@WES","Santa Ana River",2016-05-23,"DissolvedCu",0.2,"mg/L",-118.00199,33.82423
"9","ANAB0151@WES","Santa Ana River",2016-05-23,"DissolvedHexCr",0.05,"mg/L",-118.00199,33.82423
"10","ANAB0151@WES","Santa Ana River",2016-05-23,"DO",8.27,"mg/L",-118.00199,33.82423
"11","ANAB0151@WES","Santa Ana River",2016-05-23,"EC",906,"uS/cm",-118.00199,33.82423
"12","ANAB0151@WES","Santa Ana River",2016-05-23,"Hardness",330,"mg/L",-118.00199,33.82423
"13","ANAB0151@WES","Santa Ana River",2016-05-23,"Total Nitrogen",3.4,"mg/L",-118.00199,33.82423
"14","ANAB0151@WES","Santa Ana River",2016-05-23,"pH",8.28,"SU",-118.00199,33.82423
"15","ANAB0151@WES","Santa Ana River",2016-05-23,"PipeDischargeRate",0.029,"cfs",-118.00199,33.82423
"16","ANAB0151@WES","Santa Ana River",2016-05-23,"PipeLeafTime",6.41,"sec/6 ft",-118.00199,33.82423
"17","ANAB0151@WES","Santa Ana River",2016-05-23,"PipeWaterHt",0.065,"ft",-118.00199,33.82423
"18","ANAB0151@WES","Santa Ana River",2016-05-23,"PipeWaterWd",1,"ft",-118.00199,33.82423
"19","ANAB0151@WES","Santa Ana River",2016-05-23,"ReacPhosAsP",0.55,"mg/L",-118.00199,33.82423
"20","ANAB0151@WES","Santa Ana River",2016-05-23,"TotalChlorine",0.04,"mg/L",-118.00199,33.82423
"21","ANAB0151@WES","Santa Ana River",2016-05-23,"Turbidity",1.2,"NTU",-118.00199,33.82423
"22","ANAB0151@WES","Santa Ana River",2016-05-23,"WaterTemperature",20.26,"deg C",-118.00199,33.82423
"23","ANAB0151@WES","Santa Ana River",2016-05-23,"OilAndGrease",5,"mg/L",-118.00199,33.82423
"24","ANAB0151@WES","Santa Ana River",2016-05-23,"Azinphos methyl (Guthion)",10,"ng/L",-118.00199,33.82423
"25","ANAB0151@WES","Santa Ana River",2016-05-23,"Bolstar",10,"ng/L",-118.00199,33.82423
"26","ANAB0151@WES","Santa Ana River",2016-05-23,"Chlorpyrifos",10,"ng/L",-118.00199,33.82423
"27","ANAB0151@WES","Santa Ana River",2016-05-23,"Coumaphos",10,"ng/L",-118.00199,33.82423
"28","ANAB0151@WES","Santa Ana River",2016-05-23,"Demeton-o",10,"ng/L",-118.00199,33.82423
"29","ANAB0151@WES","Santa Ana River",2016-05-23,"Demeton-s",10,"ng/L",-118.00199,33.82423
"30","ANAB0151@WES","Santa Ana River",2016-05-23,"Diazinon",10,"ng/L",-118.00199,33.82423
"31","ANAB0151@WES","Santa Ana River",2016-05-23,"Dichlorvos",10,"ng/L",-118.00199,33.82423
"32","ANAB0151@WES","Santa Ana River",2016-05-23,"Dimethoate",10,"ng/L",-118.00199,33.82423
"33","ANAB0151@WES","Santa Ana River",2016-05-23,"Disulfoton",10,"ng/L",-118.00199,33.82423
"34","ANAB0151@WES","Santa Ana River",2016-05-23,"Ethoprop",10,"ng/L",-118.00199,33.82423
"35","ANAB0151@WES","Santa Ana River",2016-05-23,"Ethyl Parathion",10,"ng/L",-118.00199,33.82423
"36","ANAB0151@WES","Santa Ana River",2016-05-23,"Fensulfothion",10,"ng/L",-118.00199,33.82423
"37","ANAB0151@WES","Santa Ana River",2016-05-23,"Fenthion",10,"ng/L",-118.00199,33.82423
"38","ANAB0151@WES","Santa Ana River",2016-05-23,"Malathion",10,"ng/L",-118.00199,33.82423
"39","ANAB0151@WES","Santa Ana River",2016-05-23,"Merphos",10,"ng/L",-118.00199,33.82423
"40","ANAB0151@WES","Santa Ana River",2016-05-23,"Mevinphos",10,"ng/L",-118.00199,33.82423
"41","ANAB0151@WES","Santa Ana River",2016-05-23,"Naled ",10,"ng/L",-118.00199,33.82423
"42","ANAB0151@WES","Santa Ana River",2016-05-23,"Parathion-methyl",10,"ng/L",-118.00199,33.82423
"43","ANAB0151@WES","Santa Ana River",2016-05-23,"Phorate",10,"ng/L",-118.00199,33.82423
"44","ANAB0151@WES","Santa Ana River",2016-05-23,"Ronnel",10,"ng/L",-118.00199,33.82423
"45","ANAB0151@WES","Santa Ana River",2016-05-23,"Tetrachlorovinphos",10,"ng/L",-118.00199,33.82423
"46","ANAB0151@WES","Santa Ana River",2016-05-23,"Tokuthion",10,"ng/L",-118.00199,33.82423
"47","ANAB0151@WES","Santa Ana River",2016-05-23,"Trichloronate",10,"ng/L",-118.00199,33.82423
"48","ANAB0151@WES","Santa Ana River",2016-05-23,"TOC",3.68,"mg/L",-118.00199,33.82423
"49","ANAB0151@WES","Santa Ana River",2016-05-23,"TSS",7.5,"mg/L",-118.00199,33.82423
"50","ANAB0151@WES","Santa Ana River",2016-05-23,"Ag",0.2,"ug/L",-118.00199,33.82423
"51","ANAB0151@WES","Santa Ana River",2016-05-23,"As",1.5,"ug/L",-118.00199,33.82423
"52","ANAB0151@WES","Santa Ana River",2016-05-23,"Cd",0.1,"ug/L",-118.00199,33.82423
"53","ANAB0151@WES","Santa Ana River",2016-05-23,"Cr",1,"ug/L",-118.00199,33.82423
"54","ANAB0151@WES","Santa Ana River",2016-05-23,"Cu",3.8,"ug/L",-118.00199,33.82423
"55","ANAB0151@WES","Santa Ana River",2016-05-23,"Fe",20,"ug/L",-118.00199,33.82423
"56","ANAB0151@WES","Santa Ana River",2016-05-23,"Hg",0.05,"ug/L",-118.00199,33.82423
"57","ANAB0151@WES","Santa Ana River",2016-05-23,"Ni",0.99,"ug/L",-118.00199,33.82423
"58","ANAB0151@WES","Santa Ana River",2016-05-23,"Pb",0.21,"ug/L",-118.00199,33.82423
"59","ANAB0151@WES","Santa Ana River",2016-05-23,"Se",1.6,"ug/L",-118.00199,33.82423
"60","ANAB0151@WES","Santa Ana River",2016-05-23,"Zn",17,"ug/L",-118.00199,33.82423
"61","ANAB0151@WES","Santa Ana River",2016-06-30,"AirTemperature",23,"deg C",-118.00199,33.82423
"62","ANAB0151@WES","Santa Ana River",2016-06-30,"Ammonia",0.1,"mg/L",-118.00199,33.82423
"63","ANAB0151@WES","Santa Ana River",2016-06-30,"AnionicSurfactants",0.25,"mg/L",-118.00199,33.82423
"64","ANAB0151@WES","Santa Ana River",2016-06-30,"DaysSinceLastRain",55,"none",-118.00199,33.82423
"65","ANAB0151@WES","Santa Ana River",2016-06-30,"DissolvedCu",0.2,"mg/L",-118.00199,33.82423
"66","ANAB0151@WES","Santa Ana River",2016-06-30,"DissolvedHexCr",0.05,"mg/L",-118.00199,33.82423
"67","ANAB0151@WES","Santa Ana River",2016-06-30,"DO",8.5,"mg/L",-118.00199,33.82423
"68","ANAB0151@WES","Santa Ana River",2016-06-30,"EC",1063,"uS/cm",-118.00199,33.82423
"69","ANAB0151@WES","Santa Ana River",2016-06-30,"Hardness",310,"mg/L",-118.00199,33.82423
"70","ANAB0151@WES","Santa Ana River",2016-06-30,"Total Nitrogen",2,"mg/L",-118.00199,33.82423
"71","ANAB0151@WES","Santa Ana River",2016-06-30,"pH",8.38,"SU",-118.00199,33.82423
"72","ANAB0151@WES","Santa Ana River",2016-06-30,"PipeDischargeRate",0.002,"cfs",-118.00199,33.82423
"73","ANAB0151@WES","Santa Ana River",2016-06-30,"PipeLeafTime",96,"sec/6 ft",-118.00199,33.82423
"74","ANAB0151@WES","Santa Ana River",2016-06-30,"PipeWaterHt",0.06,"ft",-118.00199,33.82423
"75","ANAB0151@WES","Santa Ana River",2016-06-30,"PipeWaterWd",0.9,"ft",-118.00199,33.82423
"76","ANAB0151@WES","Santa Ana River",2016-06-30,"ReacPhosAsP",1.28,"mg/L",-118.00199,33.82423
"77","ANAB0151@WES","Santa Ana River",2016-06-30,"TotalChlorine",0.06,"mg/L",-118.00199,33.82423
"78","ANAB0151@WES","Santa Ana River",2016-06-30,"Turbidity",6.3,"NTU",-118.00199,33.82423
"79","ANAB0151@WES","Santa Ana River",2016-06-30,"WaterTemperature",22.29,"deg C",-118.00199,33.82423
"80","ANAB0151@WES","Santa Ana River",2016-06-30,"ENT",35000,"CFU/100 ml",-118.00199,33.82423
"81","ANAB0151@WES","Santa Ana River",2016-06-30,"FC",74000,"CFU/100 ml",-118.00199,33.82423
"82","ANAB0151@WES","Santa Ana River",2016-06-30,"TC",210000,"CFU/100 ml",-118.00199,33.82423
"83","ANAB0151@WES","Santa Ana River",2016-06-30,"OilAndGrease",14,"mg/L",-118.00199,33.82423
"84","ANAB0151@WES","Santa Ana River",2016-06-30,"Azinphos methyl (Guthion)",10,"ng/L",-118.00199,33.82423
"85","ANAB0151@WES","Santa Ana River",2016-06-30,"Bolstar",10,"ng/L",-118.00199,33.82423
"86","ANAB0151@WES","Santa Ana River",2016-06-30,"Chlorpyrifos",10,"ng/L",-118.00199,33.82423
